"first_name","last_name","city","country","total_films_rented","top_film_category","top_film_category_count"
"Wesley","Bull","Ourense (Orense)","Spain","9","Games","9"
"Lydia","Burke","San Miguel de Tucumn","Argentina","8","Documentary","8"
"Alma","Austin","Mannheim","Germany","8","Animation","8"
"Karl","Seal","Cape Coral","United States","8","Animation","8"
"Sue","Peters","Changzhou","China","7","Comedy","7"
"Nathan","Runyon","Charlotte Amalie","Virgin Islands, U.S.","7","Animation","7"
"Victoria","Gibson","Pemalang","Indonesia","7","Family","7"
"Ana","Bradley","Memphis","United States","7","Family","7"
"Mario","Cheatham","Batna","Algeria","7","New","7"
"Marsha","Douglas","Beira","Mozambique","7","Documentary","7"
"Terri","Vasquez","Blumenau","Brazil","7","New","7"
"Aaron","Selby","Mwene-Ditu","Congo, The Democratic Republic of the","7","Travel","7"
"Tim","Cary","Bijapur","India","7","Animation","7"
"Matthew","Mahan","Cuautla","Mexico","7","Action","7"
"Norman","Currier","Cianjur","Indonesia","7","Animation","7"
"Pauline","Henry","Torren","Mexico","7","Drama","7"
"Elizabeth","Brown","Nantou","Taiwan","7","Classics","7"
"Leslie","Seward","Pontianak","Indonesia","7","Action","7"
"Lucille","Holmes","Soshanguve","South Africa","7","Animation","7"
"Karl","Seal","Cape Coral","United States","7","Family","7"
"Arnold","Havens","Santa Rosa","Philippines","7","Games","7"
"Alex","Gresham","Uruapan","Mexico","7","Sports","7"
"Eleanor","Hunt","Saint-Denis","Runion","7","Sci-Fi","7"
"Dianne","Shelton","Tabriz","Iran","7","Sci-Fi","7"
"Martha","Gonzalez","Chisinau","Moldova","7","Children","7"
"Sharon","Robinson","Mardan","Pakistan","7","New","7"
"Justin","Ngo","Santo Andr","Brazil","6","Documentary","6"
"Rhonda","Kennedy","Apeldoorn","Netherlands","6","Games","6"
"Ellen","Simpson","Po","Brazil","6","Action","6"
"Dave","Gardiner","Leshan","China","6","Sports","6"
"Hazel","Warren","Hohhot","China","6","Sports","6"
"Curtis","Irby","Richmond Hill","Canada","6","Family","6"
"Salvador","Teel","Banjul","Gambia","6","Comedy","6"
"Greg","Robins","Nam Dinh","Vietnam","6","Music","6"
"Jesus","Mccartney","Guaruj","Brazil","6","Documentary","6"
"Tammy","Sanders","Changhwa","Taiwan","6","Family","6"
"Morris","Mccarter","Fengshan","Taiwan","6","New","6"
"Carmen","Owens","Caracas","Venezuela","6","Action","6"
"Louis","Leone","Tanauan","Philippines","6","Animation","6"
"Kent","Arsenault","Juiz de Fora","Brazil","6","Sports","6"
"Eduardo","Hiatt","Jining","China","6","Sports","6"
"Darlene","Rose","Pyongyang","North Korea","6","Documentary","6"
"Manuel","Murrell","Jaffna","Sri Lanka","6","Children","6"
"George","Linton","Sorocaba","Brazil","6","Sports","6"
"Cassandra","Walters","Salinas","United States","6","Documentary","6"
"Guy","Brownlee","Zhoushan","China","6","Family","6"
"Marian","Mendoza","Maring","Brazil","6","Sci-Fi","6"
"Herman","Devore","Mwanza","Tanzania","6","Games","6"
"Sandra","Martin","Southend-on-Sea","United Kingdom","6","Sports","6"
"Mathew","Bolin","Valencia","Venezuela","6","Sports","6"
"Naomi","Jennings","Karnal","India","6","New","6"
"Gina","Williamson","Taizz","Yemen","6","Family","6"
"Sarah","Lewis","Liepaja","Latvia","6","Sci-Fi","6"
"Russell","Brinson","Tychy","Poland","6","Foreign","6"
"Teresa","Rogers","Iwakuni","Japan","6","Animation","6"
"Theodore","Culp","Uluberia","India","6","Foreign","6"
"Daryl","Larue","Mosul","Iraq","6","Sports","6"
"Gerald","Fultz","Satna","India","6","Foreign","6"
"Alexander","Fennell","Bergamo","Italy","6","Family","6"
"Hector","Poindexter","Pjatigorsk","Russian Federation","6","Documentary","6"
"Irene","Price","Pavlodar","Kazakstan","6","Drama","6"
"Kathy","James","Baybay","Philippines","6","Music","6"
"Hector","Poindexter","Pjatigorsk","Russian Federation","6","Action","6"
"Justin","Ngo","Santo Andr","Brazil","6","Drama","6"
"Joanne","Robertson","Urawa","Japan","6","Action","6"
"Derek","Blakely","Gingoog","Philippines","6","Sci-Fi","6"
"Nancy","Thomas","Yamuna Nagar","India","6","Drama","6"
"Viola","Hanson","Lapu-Lapu","Philippines","6","Comedy","6"
"Curtis","Irby","Richmond Hill","Canada","6","Action","6"
"Roy","Whiting","Nyeri","Kenya","6","Action","6"
"Ramon","Choate","Robamba","Ecuador","6","Sports","6"
"Olga","Jimenez","Ogbomosho","Nigeria","6","Sports","6"
"Margie","Wade","Lengshuijiang","China","6","New","6"
"Ethel","Webb","Boksburg","South Africa","6","Documentary","6"
"Leonard","Schofield","Tandil","Argentina","6","Documentary","6"
"Julian","Vest","Akishima","Japan","6","Children","6"
"Michelle","Clark","Tangail","Bangladesh","6","Sci-Fi","6"
"Elizabeth","Brown","Nantou","Taiwan","6","Animation","6"
"Wesley","Bull","Ourense (Orense)","Spain","6","Foreign","6"
"Kyle","Spurlock","Shanwei","China","6","Drama","6"
"Jordan","Archuleta","Avellaneda","Argentina","6","Action","6"
"Joy","George","Botosani","Romania","6","Sci-Fi","6"
"Regina","Berry","Jinchang","China","6","Foreign","6"
"Carolyn","Perez","Pak Kret","Thailand","6","Sci-Fi","6"
"Mary","Smith","Sasebo","Japan","6","Classics","6"
"Jessie","Banks","Stara Zagora","Bulgaria","6","Foreign","6"
"Eleanor","Hunt","Saint-Denis","Runion","6","Family","6"
"Judith","Cox","Daxian","China","6","Documentary","6"
"Megan","Palmer","Laiwu","China","6","Action","6"
"Charlotte","Hunter","guas Lindas de Gois","Brazil","6","Sci-Fi","6"
"Wallace","Slone","Sokoto","Nigeria","6","Foreign","6"
"Dana","Hart","Kirovo-Tepetsk","Russian Federation","6","Family","6"
"Alice","Stewart","Fontana","United States","6","Action","6"
"Tonya","Chapman","Bhilwara","India","6","Action","6"
"Douglas","Graf","Mexicali","Mexico","6","Family","6"
"Travis","Estep","al-Qatif","Saudi Arabia","5","Animation","5"
"Sergio","Stanfield","Celaya","Mexico","5","Documentary","5"
"Billie","Horton","Inegl","Turkey","5","Comedy","5"
"Clarence","Gamez","Izumisano","Japan","5","Sci-Fi","5"
"Seth","Hannon","al-Manama","Bahrain","5","Sports","5"
"Stanley","Scroggins","Omiya","Japan","5","Animation","5"
"Minnie","Romero","Ciomas","Indonesia","5","Animation","5"
"Marcia","Dean","Tanza","Philippines","5","Games","5"
"Tonya","Chapman","Bhilwara","India","5","Children","5"
"Crystal","Ford","Ashdod","Israel","5","Sci-Fi","5"
"Marsha","Douglas","Beira","Mozambique","5","Family","5"
"Emma","Boyd","Qalyub","Egypt","5","Horror","5"
"Tracy","Herrmann","Loja","Ecuador","5","Comedy","5"
"Nathaniel","Adam","Joliet","United States","5","Drama","5"
"Roberta","Harper","Shahr-e Kord","Iran","5","Foreign","5"
"Louise","Jenkins","Springs","South Africa","5","Sci-Fi","5"
"Steve","Mackenzie","Probolinggo","Indonesia","5","Action","5"
"Jessica","Hall","Citt del Vaticano","Holy See (Vatican City State)","5","Documentary","5"
"Nora","Herrera","Salzburg","Austria","5","Drama","5"
"Arnold","Havens","Santa Rosa","Philippines","5","Animation","5"
"Ted","Breaux","Baicheng","China","5","Sports","5"
"Peggy","Myers","Abha","Saudi Arabia","5","Animation","5"
"Michelle","Clark","Tangail","Bangladesh","5","Foreign","5"
"Nellie","Garrett","Shimoga","India","5","Children","5"
"Randall","Neumann","La Romana","Dominican Republic","5","Foreign","5"
"Heidi","Larson","Xiangfan","China","5","New","5"
"Ruby","Washington","Meixian","China","5","Music","5"
"Jessie","Milam","Binzhou","China","5","Sports","5"
"Maria","Miller","Kragujevac","Yugoslavia","5","Animation","5"
"April","Burns","Dundee","United Kingdom","5","Documentary","5"
"Frank","Waggoner","Jamalpur","Bangladesh","5","Music","5"
"Jessie","Banks","Stara Zagora","Bulgaria","5","Sports","5"
"Cindy","Fisher","Cuman","Venezuela","5","Documentary","5"
"Brett","Cornwell","Siliguri (Shiliguri)","India","5","Documentary","5"
"Marcus","Hidalgo","Tartu","Estonia","5","Family","5"
"Glenda","Frazier","Qinhuangdao","China","5","New","5"
"Dennis","Gilman","Paarl","South Africa","5","Sports","5"
"Olga","Jimenez","Ogbomosho","Nigeria","5","Comedy","5"
"Rosemary","Schmidt","Usak","Turkey","5","Foreign","5"
"Diane","Collins","Omdurman","Sudan","5","Drama","5"
"Raymond","Mcwhorter","Sumqayit","Azerbaijan","5","Foreign","5"
"Tanya","Gilbert","Naju","South Korea","5","Classics","5"
"Bessie","Morrison","Syrakusa","Italy","5","Drama","5"
"Tim","Cary","Bijapur","India","5","Sports","5"
"Ella","Oliver","Aden","Yemen","5","New","5"
"Marilyn","Ross","Ife","Nigeria","5","New","5"
"Christian","Jung","Amroha","India","5","Family","5"
"James","Gannon","Hiroshima","Japan","5","Drama","5"
"Allen","Butterfield","Hoshiarpur","India","5","Action","5"
